external_id	collaborator_id
USA/MA-MGH-00001/2020	REDACTED
USA/MA-MGH-00002/2020	REDACTED
USA/MA-MGH-00003/2020	REDACTED
USA/MA-MGH-00004/2020	REDACTED
USA/MA-MGH-00005/2020	REDACTED
USA/MA-MGH-00006/2020	REDACTED
USA/MA-MGH-00007/2020	REDACTED
USA/MA-MGH-00008/2020	REDACTED
USA/MA-MGH-00009/2020	REDACTED
USA/MA-MGH-00010/2020	REDACTED
USA/MA-MGH-00012/2020	REDACTED
USA/MA-MGH-00013/2020	REDACTED
USA/MA-MGH-00014/2020	REDACTED
USA/MA-MGH-00015/2020	REDACTED
USA/MA-MGH-00016/2020	REDACTED
USA/MA-MGH-00017/2020	REDACTED
USA/MA-MGH-00018/2020	REDACTED
USA/MA-MGH-00019/2020	REDACTED
USA/MA-MGH-00020/2020	REDACTED
USA/MA-MGH-00021/2020	REDACTED
USA/MA-MGH-00023/2020	REDACTED
USA/MA-MGH-00024/2020	REDACTED
USA/MA-MGH-00025/2020	REDACTED
USA/MA-MGH-00026/2020	REDACTED
USA/MA-MGH-00027/2020	REDACTED
USA/MA-MGH-00028/2020	REDACTED
USA/MA-MGH-00029/2020	REDACTED
USA/MA-MGH-00030/2020	REDACTED
USA/MA-MGH-00031/2020	REDACTED
USA/MA-MGH-00032/2020	REDACTED
USA/MA-MGH-00033/2020	REDACTED
USA/MA-MGH-00034/2020	REDACTED
USA/MA-MGH-00035/2020	REDACTED
USA/MA-MGH-00036/2020	REDACTED
USA/MA-MGH-00037/2020	REDACTED
USA/MA-MGH-00038/2020	REDACTED
USA/MA-MGH-00039/2020	REDACTED
USA/MA-MGH-00040/2020	REDACTED
USA/MA-MGH-00041/2020	REDACTED
USA/MA-MGH-00042/2020	REDACTED
USA/MA-MGH-00043/2020	REDACTED
USA/MA-MGH-00044/2020	REDACTED
USA/MA-MGH-00045/2020	REDACTED
USA/MA-MGH-00046/2020	REDACTED
USA/MA-MGH-00047/2020	REDACTED
USA/MA-MGH-00048/2020	REDACTED
USA/MA-MGH-00049/2020	REDACTED
USA/MA-MGH-00050/2020	REDACTED
USA/MA-MGH-00051/2020	REDACTED
USA/MA-MGH-00052/2020	REDACTED
USA/MA-MGH-00053/2020	REDACTED
USA/MA-MGH-00054/2020	REDACTED
USA/MA-MGH-00055/2020	REDACTED
USA/MA-MGH-00056/2020	REDACTED
USA/MA-MGH-00057/2020	REDACTED
USA/MA-MGH-00058/2020	REDACTED
USA/MA-MGH-00059/2020	REDACTED
USA/MA-MGH-00060/2020	REDACTED
USA/MA-MGH-00061/2020	REDACTED
USA/MA-MGH-00062/2020	REDACTED
USA/MA-MGH-00063/2020	REDACTED
USA/MA-MGH-00064/2020	REDACTED
USA/MA-MGH-00065/2020	REDACTED
USA/MA-MGH-00066/2020	REDACTED
USA/MA-MGH-00067/2020	REDACTED
USA/MA-MGH-00068/2020	REDACTED
USA/MA-MGH-00069/2020	REDACTED
USA/MA-MGH-00070/2020	REDACTED
USA/MA-MGH-00071/2020	REDACTED
USA/MA-MGH-00072/2020	REDACTED
USA/MA-MGH-00073/2020	REDACTED
USA/MA-MGH-00074/2020	REDACTED
USA/MA-MGH-00075/2020	REDACTED
USA/MA-MGH-00076/2020	REDACTED
USA/MA-MGH-00077/2020	REDACTED
USA/MA-MGH-00078/2020	REDACTED
USA/MA-MGH-00079/2020	REDACTED
USA/MA-MGH-00080/2020	REDACTED
USA/MA-MGH-00081/2020	REDACTED
USA/MA-MGH-00082/2020	REDACTED
USA/MA-MGH-00083/2020	REDACTED
USA/MA-MGH-00084/2020	REDACTED
USA/MA-MGH-00085/2020	REDACTED
USA/MA-MGH-00086/2020	REDACTED
USA/MA-MGH-00087/2020	REDACTED
USA/MA-MGH-00088/2020	REDACTED
USA/MA-MGH-00089/2020	REDACTED
USA/MA-MGH-00090/2020	REDACTED
USA/MA-MGH-00091/2020	REDACTED
USA/MA-MGH-00092/2020	REDACTED
USA/MA-MGH-00093/2020	REDACTED
USA/MA-MGH-00094/2020	REDACTED
USA/MA-MGH-00096/2020	REDACTED
USA/MA-MGH-00097/2020	REDACTED
USA/MA-MGH-00098/2020	REDACTED
USA/MA-MGH-00099/2020	REDACTED
USA/MA-MGH-00100/2020	REDACTED
USA/MA-MGH-00101/2020	REDACTED
USA/MA-MGH-00102/2020	REDACTED
USA/MA-MGH-00103/2020	REDACTED
USA/MA-MGH-00104/2020	REDACTED
USA/MA-MGH-00105/2020	REDACTED
USA/MA-MGH-00132/2020	REDACTED
USA/MA-MGH-00133/2020	REDACTED
USA/MA-MGH-00134/2020	REDACTED
USA/MA-MGH-00135/2020	REDACTED
USA/MA-MGH-00136/2020	REDACTED
USA/MA-MGH-00137/2020	REDACTED
USA/MA-MGH-00139/2020	REDACTED
USA/MA-MGH-00140/2020	REDACTED
USA/MA-MGH-00141/2020	REDACTED
USA/MA-MGH-00142/2020	REDACTED
USA/MA-MGH-00143/2020	REDACTED
USA/MA-MGH-00144/2020	REDACTED
USA/MA-MGH-00145/2020	REDACTED
USA/MA-MGH-00146/2020	REDACTED
USA/MA-MGH-00147/2020	REDACTED
USA/MA-MGH-00148/2020	REDACTED
USA/MA-MGH-00149/2020	REDACTED
USA/MA-MGH-00150/2020	REDACTED
USA/MA-MGH-00151/2020	REDACTED
USA/MA-MGH-00152/2020	REDACTED
USA/MA-MGH-00153/2020	REDACTED
USA/MA-MGH-00154/2020	REDACTED
USA/MA-MGH-00155/2020	REDACTED
USA/MA-MGH-00156/2020	REDACTED
USA/MA-MGH-00157/2020	REDACTED
USA/MA-MGH-00158/2020	REDACTED
USA/MA-MGH-00159/2020	REDACTED
USA/MA-MGH-00160/2020	REDACTED
USA/MA-MGH-00161/2020	REDACTED
USA/MA-MGH-00162/2020	REDACTED
USA/MA-MGH-00163/2020	REDACTED
USA/MA-MGH-00164/2020	REDACTED
USA/MA-MGH-00165/2020	REDACTED
USA/MA-MGH-00166/2020	REDACTED
USA/MA-MGH-00167/2020	REDACTED
USA/MA-MGH-00168/2020	REDACTED
